anchor_id,probe_role,source_subtype,source_gate_reasons,original_split,obj_x,obj_y,obj_z,speed,anchor_step,qpos,qvel,dense_seed,branch_seed,source_cross_epsilon_y_cosine,source_signature_equal_rate
611,frozen_branch_discovery,both,cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.068,0.12,1.4,96,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.4, 0.0, 0.0, 0.0, 0.0, 0.0]",5812,707500,-0.3457289748060173,0.6153846153846154
844,frozen_branch_discovery,both,cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.069,0.12,1.1,70,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.1, 0.0, 0.0, 0.0, 0.0, 0.0]",6045,942597,0.6318971648585544,0.5384615384615384
1237,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_id,0.302,0.07,0.12,1.2,36,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.2, 0.0, 0.0, 0.0, 0.0, 0.0]",6438,1339134,0.23389917319170012,0.7692307692307693
1375,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.07,0.12,1.5,66,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",6576,1478376,0.242460818872941,0.38461538461538464
1516,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_id,0.302,0.071,0.12,0.9,102,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",6717,1620645,0.07271020785104677,0.6153846153846154
1967,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,val,0.302,0.072,0.12,1.1,102,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.1, 0.0, 0.0, 0.0, 0.0, 0.0]",7168,2075704,-0.3099887469653374,0.6923076923076923
2249,frozen_branch_discovery,both,cross_epsilon_y_cosine|contact_signature_switch,test_id,0.302,0.073,0.12,0.9,92,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",7450,2360242,0.4921461045478831,0.6923076923076923
2624,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.074,0.12,0.9,104,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",7825,2738617,0.022545269428087156,0.6923076923076923
2836,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.074,0.12,1.5,36,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",8037,2952525,-0.7032461553612533,0.23076923076923078
3731,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.077,0.12,0.9,104,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[0.9, 0.0, 0.0, 0.0, 0.0, 0.0]",8932,3855580,0.25971979641333665,0.6923076923076923
3833,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,val,0.302,0.077,0.12,1.2,62,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.2, 0.0, 0.0, 0.0, 0.0, 0.0]",9034,3958498,-0.34334277162748544,0.7692307692307693
4342,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_id,0.302,0.078,0.12,1.5,96,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.5, 0.0, 0.0, 0.0, 0.0, 0.0]",9543,4472079,-0.3727351759577422,0.46153846153846156
4408,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.302,0.078,0.12,1.7,64,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.7, 0.0, 0.0, 0.0, 0.0, 0.0]",9609,4538673,-0.33655279461148624,0.38461538461538464
6799,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_ood,0.302,0.085,0.12,1.2,90,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.2, 0.0, 0.0, 0.0, 0.0, 0.0]",12000,6951192,-0.5960457921321267,0.38461538461538464
8812,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_ood,0.302,0.09,0.12,1.6,98,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.6, 0.0, 0.0, 0.0, 0.0, 0.0]",14013,8982309,-0.46445084422483135,0.6153846153846154
9664,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.306,0.069,0.12,1.0,80,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",14865,9841977,0.1104880430404728,0.7692307692307693
9829,frozen_branch_discovery,both,cross_epsilon_y_cosine|contact_signature_switch,train,0.306,0.069,0.12,1.4,82,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.4, 0.0, 0.0, 0.0, 0.0, 0.0]",15030,10008462,0.031244966535960293,0.7692307692307693
11030,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_id,0.306,0.072,0.12,1.7,24,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.7, 0.0, 0.0, 0.0, 0.0, 0.0]",16231,11220271,-0.49440084600795653,0.7692307692307693
11438,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.306,0.073,0.12,1.7,102,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.7, 0.0, 0.0, 0.0, 0.0, 0.0]",16639,11631943,-0.09718888099527105,0.6923076923076923
11603,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.306,0.074,0.12,1.2,104,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.2, 0.0, 0.0, 0.0, 0.0, 0.0]",16804,11798428,-0.11295428757305287,0.46153846153846156
11882,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,val,0.306,0.075,0.12,1.0,88,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17083,12079939,-0.4182084802906189,0.6153846153846154
12358,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,val,0.306,0.076,0.12,1.3,56,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.3, 0.0, 0.0, 0.0, 0.0, 0.0]",17559,12560223,-0.3591832414901375,0.6153846153846154
15071,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_id,0.306,0.083,0.12,1.6,70,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.6, 0.0, 0.0, 0.0, 0.0, 0.0]",20272,15297640,0.2148330164913334,0.46153846153846156
15332,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_ood,0.306,0.084,0.12,1.3,100,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.3, 0.0, 0.0, 0.0, 0.0, 0.0]",20533,15560989,-0.3333283934847081,0.6153846153846154
18559,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.31,0.069,0.12,1.1,76,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.1, 0.0, 0.0, 0.0, 0.0, 0.0]",23760,18817032,-0.3393922651751776,0.5384615384615384
18637,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.31,0.069,0.12,1.3,68,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.3, 0.0, 0.0, 0.0, 0.0, 0.0]",23838,18895734,-0.030322492920376146,0.5384615384615384
19119,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.31,0.07,0.12,1.6,48,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.6, 0.0, 0.0, 0.0, 0.0, 0.0]",24320,19382072,0.569600058250439,0.6923076923076923
19633,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.31,0.072,0.12,1.0,92,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24834,19900698,0.42790777949224496,0.6923076923076923
22738,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,train,0.31,0.08,0.12,1.4,70,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.4, 0.0, 0.0, 0.0, 0.0, 0.0]",27939,23033643,-0.7673126506888611,0.46153846153846156
26188,frozen_branch_discovery,both,hold_y_cosine|cross_epsilon_y_cosine|contact_signature_switch,test_ood,0.31,0.089,0.12,1.7,82,"[0.0, 1.4, -0.4, 0.5, 0.0, 0.0]","[1.7, 0.0, 0.0, 0.0, 0.0, 0.0]",31389,26514693,-0.033514297579183616,0.5384615384615384
