anchor_id,selected_k,variant,split,accuracy,balanced_accuracy,macro_f1,majority_accuracy,chance_balanced_accuracy,status
611,4,direction_deployable,hold_eps003,0.32608695652173914,0.3161055369751022,0.29488098269610874,0.2826086956521739,0.25,ok
611,4,direction_deployable,hold_eps010,0.2717391304347826,0.364300903774588,0.25101512508908896,0.41304347826086957,0.25,ok
611,4,post_contact_oracle,hold_eps003,0.2608695652173913,0.24832775919732442,0.16925275622703145,0.2826086956521739,0.25,ok
611,4,post_contact_oracle,hold_eps010,0.22826086956521738,0.23793859649122806,0.14475524475524476,0.41304347826086957,0.25,ok
611,4,direction_plus_post_contact_oracle,hold_eps003,0.32608695652173914,0.32127461910070604,0.3155743956204684,0.2826086956521739,0.25,ok
611,4,direction_plus_post_contact_oracle,hold_eps010,0.2717391304347826,0.30964247740563533,0.2424925951983879,0.41304347826086957,0.25,ok
844,6,direction_deployable,hold_eps003,0.3804347826086957,0.34932551968155684,0.3262778904153806,0.20652173913043478,0.16666666666666666,ok
844,6,direction_deployable,hold_eps010,0.11956521739130435,0.13362436783489415,0.11222176610107644,0.22826086956521738,0.16666666666666666,ok
844,6,post_contact_oracle,hold_eps003,0.16304347826086957,0.14638157894736842,0.0780159521435693,0.20652173913043478,0.16666666666666666,ok
844,6,post_contact_oracle,hold_eps010,0.14130434782608695,0.20606060606060606,0.07727465986394558,0.22826086956521738,0.16666666666666666,ok
844,6,direction_plus_post_contact_oracle,hold_eps003,0.3804347826086957,0.35883793708871115,0.3490782293818347,0.20652173913043478,0.16666666666666666,ok
844,6,direction_plus_post_contact_oracle,hold_eps010,0.14130434782608695,0.1516555569187148,0.1332144208117512,0.22826086956521738,0.16666666666666666,ok
1237,4,direction_deployable,hold_eps003,0.5108695652173914,0.4262066365007541,0.42316370992841584,0.3695652173913043,0.25,ok
1237,4,direction_deployable,hold_eps010,0.532608695652174,0.34844720496894405,0.3425966962127317,0.5,0.25,ok
1237,4,post_contact_oracle,hold_eps003,0.32608695652173914,0.25,0.12295081967213115,0.3695652173913043,0.25,ok
1237,4,post_contact_oracle,hold_eps010,0.3804347826086957,0.25,0.1377952755905512,0.5,0.25,ok
1237,4,direction_plus_post_contact_oracle,hold_eps003,0.5,0.4307315233785822,0.4296792320751389,0.3695652173913043,0.25,ok
1237,4,direction_plus_post_contact_oracle,hold_eps010,0.5108695652173914,0.3375776397515528,0.3339428500588855,0.5,0.25,ok
1375,6,direction_deployable,hold_eps003,0.43478260869565216,0.39509536357362446,0.36848258964902253,0.25,0.16666666666666666,ok
1375,6,direction_deployable,hold_eps010,0.05434782608695652,0.05448717948717949,0.050505050505050504,0.42391304347826086,0.16666666666666666,ok
1375,6,post_contact_oracle,hold_eps003,0.30434782608695654,0.3225500345065563,0.24561038194353113,0.25,0.16666666666666666,ok
1375,6,post_contact_oracle,hold_eps010,0.2826086956521739,0.25961538461538464,0.16314541142127348,0.42391304347826086,0.16666666666666666,ok
1375,6,direction_plus_post_contact_oracle,hold_eps003,0.5543478260869565,0.5437558817993601,0.5466898565150671,0.25,0.16666666666666666,ok
1375,6,direction_plus_post_contact_oracle,hold_eps010,0.15217391304347827,0.08680555555555554,0.10902777777777778,0.42391304347826086,0.16666666666666666,ok
1516,5,direction_deployable,hold_eps003,0.41304347826086957,0.3556021827143109,0.3264214046822742,0.2717391304347826,0.2,ok
1516,5,direction_deployable,hold_eps010,0.10869565217391304,0.16176470588235295,0.09653061224489796,0.44565217391304346,0.2,ok
1516,5,post_contact_oracle,hold_eps003,0.29347826086956524,0.251906941266209,0.1722039987503905,0.2717391304347826,0.2,ok
1516,5,post_contact_oracle,hold_eps010,0.22826086956521738,0.214390243902439,0.13810874704491724,0.44565217391304346,0.2,ok
1516,5,direction_plus_post_contact_oracle,hold_eps003,0.532608695652174,0.4750332687907058,0.45097273097273094,0.2717391304347826,0.2,ok
1516,5,direction_plus_post_contact_oracle,hold_eps010,0.2391304347826087,0.33357962697274035,0.2550326797385621,0.44565217391304346,0.2,ok
1967,6,direction_deployable,hold_eps003,0.2717391304347826,0.27984006734006733,0.26115569615569617,0.391304347826087,0.16666666666666666,ok
1967,6,direction_deployable,hold_eps010,0.16304347826086957,0.13272814350400555,0.11839513778873047,0.31521739130434784,0.16666666666666666,ok
1967,6,post_contact_oracle,hold_eps003,0.44565217391304346,0.24537037037037038,0.1688864224935257,0.391304347826087,0.16666666666666666,ok
1967,6,post_contact_oracle,hold_eps010,0.358695652173913,0.2366771159874608,0.14541666666666667,0.31521739130434784,0.16666666666666666,ok
1967,6,direction_plus_post_contact_oracle,hold_eps003,0.45652173913043476,0.4383838383838384,0.42185662290925446,0.391304347826087,0.16666666666666666,ok
1967,6,direction_plus_post_contact_oracle,hold_eps010,0.2826086956521739,0.2551738650876582,0.2337367271577798,0.31521739130434784,0.16666666666666666,ok
2249,5,direction_deployable,hold_eps003,0.4782608695652174,0.26717817561807333,0.24657723577235774,0.5,0.2,ok
2249,5,direction_deployable,hold_eps010,0.45652173913043476,0.17991452991452989,0.15066119471044231,0.5652173913043478,0.2,ok
2249,5,post_contact_oracle,hold_eps003,0.5,0.2,0.13333333333333333,0.5,0.2,ok
2249,5,post_contact_oracle,hold_eps010,0.5652173913043478,0.2,0.14444444444444443,0.5652173913043478,0.2,ok
2249,5,direction_plus_post_contact_oracle,hold_eps003,0.5,0.3035418119817097,0.3141286254728878,0.5,0.2,ok
2249,5,direction_plus_post_contact_oracle,hold_eps010,0.42391304347826086,0.16837606837606836,0.14285714285714285,0.5652173913043478,0.2,ok
2624,6,direction_deployable,hold_eps003,0.5108695652173914,0.5092760180995476,0.49975772567091353,0.21739130434782608,0.16666666666666666,ok
2624,6,direction_deployable,hold_eps010,0.021739130434782608,0.016666666666666666,0.018018018018018018,0.21739130434782608,0.16666666666666666,ok
2624,6,post_contact_oracle,hold_eps003,0.15217391304347827,0.17091503267973854,0.09036768190775524,0.21739130434782608,0.16666666666666666,ok
2624,6,post_contact_oracle,hold_eps010,0.21739130434782608,0.1946078431372549,0.11002028397565923,0.21739130434782608,0.16666666666666666,ok
2624,6,direction_plus_post_contact_oracle,hold_eps003,0.5434782608695652,0.5485671191553545,0.534547152194211,0.21739130434782608,0.16666666666666666,ok
2624,6,direction_plus_post_contact_oracle,hold_eps010,0.021739130434782608,0.016666666666666666,0.018018018018018018,0.21739130434782608,0.16666666666666666,ok
2836,5,direction_deployable,hold_eps003,0.5,0.5095603089720737,0.4862474985914398,0.2391304347826087,0.2,ok
2836,5,direction_deployable,hold_eps010,0.043478260869565216,0.04155844155844156,0.03913161281582334,0.4782608695652174,0.2,ok
2836,5,post_contact_oracle,hold_eps003,0.1956521739130435,0.1797979797979798,0.10977443609022557,0.2391304347826087,0.2,ok
2836,5,post_contact_oracle,hold_eps010,0.3695652173913043,0.20324675324675323,0.15501672240802675,0.4782608695652174,0.2,ok
2836,5,direction_plus_post_contact_oracle,hold_eps003,0.4673913043478261,0.47622697563874034,0.46076218253119994,0.2391304347826087,0.2,ok
2836,5,direction_plus_post_contact_oracle,hold_eps010,0.07608695652173914,0.06313131313131312,0.06040621266427718,0.4782608695652174,0.2,ok
3731,6,direction_deployable,hold_eps003,0.32608695652173914,0.33821097883597884,0.28899454842851063,0.34782608695652173,0.16666666666666666,ok
3731,6,direction_deployable,hold_eps010,0.09782608695652174,0.07765151515151515,0.06769998767410329,0.43478260869565216,0.16666666666666666,ok
3731,6,post_contact_oracle,hold_eps003,0.20652173913043478,0.19212962962962962,0.10572966128521684,0.34782608695652173,0.16666666666666666,ok
3731,6,post_contact_oracle,hold_eps010,0.22826086956521738,0.2041666666666667,0.10518334711883098,0.43478260869565216,0.16666666666666666,ok
3731,6,direction_plus_post_contact_oracle,hold_eps003,0.4891304347826087,0.4720568783068783,0.4274083443438282,0.34782608695652173,0.16666666666666666,ok
3731,6,direction_plus_post_contact_oracle,hold_eps010,0.1956521739130435,0.10450937950937951,0.1280638482602017,0.43478260869565216,0.16666666666666666,ok
3833,6,direction_deployable,hold_eps003,0.358695652173913,0.34512054303720974,0.36159585008490774,0.29347826086956524,0.16666666666666666,ok
3833,6,direction_deployable,hold_eps010,0.20652173913043478,0.07637600494743352,0.08130461922596753,0.532608695652174,0.16666666666666666,ok
3833,6,post_contact_oracle,hold_eps003,0.41304347826086957,0.3333333333333333,0.1975965327029157,0.29347826086956524,0.16666666666666666,ok
3833,6,post_contact_oracle,hold_eps010,0.4782608695652174,0.2018140589569161,0.13240418118466898,0.532608695652174,0.16666666666666666,ok
3833,6,direction_plus_post_contact_oracle,hold_eps003,0.6195652173913043,0.6434294871794872,0.6529985404123335,0.29347826086956524,0.16666666666666666,ok
