anchor_id,label,label_name,source_subtype,evaluation_role,audit_provenance,trajectory_key,obj_pos,speed,anchor_step,contact_count,X1,X2,X3,split
611,1,both_like,both,replay_audited,branch_replay_confirmed_both,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.4,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.068,0.12]}","[0.302,0.068,0.12]",1.4,96,2,"[0.2382989525794983,1.0367770195007324,-0.43753722310066223,0.376576691865921,0.01861073449254036,-0.03943408653140068,1.1587939262390137,-0.561292827129364,-0.11705423146486282,-0.2269441783428192,0.13925151526927948,-0.3058915436267853,0.2973616421222687,0.08912964910268784,0.1249941810965538,0.9435270183702901,-0.14240090179296752,0.0446439709099965,-0.29577975697333897,-0.04436687380075455,-0.06295206397771835,-0.0409044548869133,2.9884631633758545,0.016700198873877525,-0.04387253522872925]","[0.2382989525794983,1.0367770195007324,-0.43753722310066223,0.376576691865921,0.01861073449254036,-0.03943408653140068,1.1587939262390137,-0.561292827129364,-0.11705423146486282,-0.2269441783428192,0.13925151526927948,-0.3058915436267853,0.2973616421222687,0.08912964910268784,0.1249941810965538,0.9435270183702901,-0.14240090179296752,0.0446439709099965,-0.29577975697333897,-0.04436687380075455,-0.06295206397771835,-0.0409044548869133,2.9884631633758545,0.016700198873877525,-0.04387253522872925,-0.005697678522417639,-0.019735090172696576,0.019968721472069125,-1.5540873962153715e-05,0.9118919118333949,-0.41043043368068755,0.0004494610184337944]","[0.2382989525794983,1.0367770195007324,-0.43753722310066223,0.376576691865921,0.01861073449254036,-0.03943408653140068,1.1587939262390137,-0.561292827129364,-0.11705423146486282,-0.2269441783428192,0.13925151526927948,-0.3058915436267853,0.2973616421222687,0.08912964910268784,0.1249941810965538,0.9435270183702901,-0.14240090179296752,0.0446439709099965,-0.29577975697333897,-0.04436687380075455,-0.06295206397771835,-0.0409044548869133,2.9884631633758545,0.016700198873877525,-0.04387253522872925,-0.005697678522417639,-0.019735090172696576,0.019968721472069125,-1.5540873962153715e-05,0.9118919118333949,-0.41043043368068755,0.0004494610184337944,1.4,0.0,0.0,0.0,0.0,0.0]",audited_test
653,0,stable_like,signature_only,replay_audited,marginal_signature_only,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.5,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.068,0.12]}","[0.302,0.068,0.12]",1.5,98,4,"[0.2606780529022217,1.0348097085952759,-0.43774086236953735,0.37551021575927734,0.020294347777962685,-0.04300357401371002,1.2512812614440918,-0.5319498181343079,-0.12507393956184387,-0.20339088141918182,0.1437661498785019,-0.31749165058135986,0.2984248399734497,0.09080846607685089,0.12593203783035278,0.937484024661457,-0.1789562734941668,0.05586249018424473,-0.2932196069024936,0.04362079128623009,0.06101183965802193,0.03179599344730377,-2.886483907699585,0.023819904774427414,0.03796559199690819]","[0.2606780529022217,1.0348097085952759,-0.43774086236953735,0.37551021575927734,0.020294347777962685,-0.04300357401371002,1.2512812614440918,-0.5319498181343079,-0.12507393956184387,-0.20339088141918182,0.1437661498785019,-0.31749165058135986,0.2984248399734497,0.09080846607685089,0.12593203783035278,0.937484024661457,-0.1789562734941668,0.05586249018424473,-0.2932196069024936,0.04362079128623009,0.06101183965802193,0.03179599344730377,-2.886483907699585,0.023819904774427414,0.03796559199690819,-0.014049283156211317,-0.019341294559245364,0.019680130736094408,0.008211191021242233,0.9391039683428382,-0.3435350243930689,0.0016554256435483694]","[0.2606780529022217,1.0348097085952759,-0.43774086236953735,0.37551021575927734,0.020294347777962685,-0.04300357401371002,1.2512812614440918,-0.5319498181343079,-0.12507393956184387,-0.20339088141918182,0.1437661498785019,-0.31749165058135986,0.2984248399734497,0.09080846607685089,0.12593203783035278,0.937484024661457,-0.1789562734941668,0.05586249018424473,-0.2932196069024936,0.04362079128623009,0.06101183965802193,0.03179599344730377,-2.886483907699585,0.023819904774427414,0.03796559199690819,-0.014049283156211317,-0.019341294559245364,0.019680130736094408,0.008211191021242233,0.9391039683428382,-0.3435350243930689,0.0016554256435483694,1.5,0.0,0.0,0.0,0.0,0.0]",audited_test
775,0,stable_like,signature_only,replay_audited,marginal_signature_only,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[0.9,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",0.9,96,1,"[0.1534520983695984,1.040689468383789,-0.43871748447418213,0.3803989291191101,0.012042958289384842,-0.025471031665802002,0.7379557490348816,-0.5712335705757141,-0.11068138480186462,-0.23371142148971558,0.09056731313467026,-0.20328086614608765,0.3039403557777405,0.07373782247304916,0.1201348826289177,0.9997260248625366,-0.0024230352240716267,0.0008111112821212557,-0.0232668479030038,-0.0006722778780385852,0.075302354991436,0.05090934410691261,-1.6374638080596924,0.14278432726860046,-0.9003669023513794]","[0.1534520983695984,1.040689468383789,-0.43871748447418213,0.3803989291191101,0.012042958289384842,-0.025471031665802002,0.7379557490348816,-0.5712335705757141,-0.11068138480186462,-0.23371142148971558,0.09056731313467026,-0.20328086614608765,0.3039403557777405,0.07373782247304916,0.1201348826289177,0.9997260248625366,-0.0024230352240716267,0.0008111112821212557,-0.0232668479030038,-0.0006722778780385852,0.075302354991436,0.05090934410691261,-1.6374638080596924,0.14278432726860046,-0.9003669023513794,-0.019887980259415374,-0.019938302596720237,0.01981463849066682,0.4765250922182254,0.5798254757267018,-0.6608526720720099,0.0004295448015909642]","[0.1534520983695984,1.040689468383789,-0.43871748447418213,0.3803989291191101,0.012042958289384842,-0.025471031665802002,0.7379557490348816,-0.5712335705757141,-0.11068138480186462,-0.23371142148971558,0.09056731313467026,-0.20328086614608765,0.3039403557777405,0.07373782247304916,0.1201348826289177,0.9997260248625366,-0.0024230352240716267,0.0008111112821212557,-0.0232668479030038,-0.0006722778780385852,0.075302354991436,0.05090934410691261,-1.6374638080596924,0.14278432726860046,-0.9003669023513794,-0.019887980259415374,-0.019938302596720237,0.01981463849066682,0.4765250922182254,0.5798254757267018,-0.6608526720720099,0.0004295448015909642,0.9,0.0,0.0,0.0,0.0,0.0]",audited_test
819,1,both_like,both,replay_audited,marginal_both,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.0,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.0,102,2,"[0.18098974227905273,1.0356279611587524,-0.4392607808113098,0.37782520055770874,0.01414190698415041,-0.030045369639992714,0.8207002878189087,-0.4961264729499817,-0.09644564986228943,-0.20486260950565338,0.09983256459236145,-0.2250146120786667,0.3035053610801697,0.07832866162061691,0.1203548014163971,0.9979449129970828,-0.00735966972877557,0.001358270709754204,-0.06363914664266986,0.004903653636574745,0.09054815024137497,0.048586729913949966,-2.2183597087860107,0.55598384141922,-1.2810957431793213]","[0.18098974227905273,1.0356279611587524,-0.4392607808113098,0.37782520055770874,0.01414190698415041,-0.030045369639992714,0.8207002878189087,-0.4961264729499817,-0.09644564986228943,-0.20486260950565338,0.09983256459236145,-0.2250146120786667,0.3035053610801697,0.07832866162061691,0.1203548014163971,0.9979449129970828,-0.00735966972877557,0.001358270709754204,-0.06363914664266986,0.004903653636574745,0.09054815024137497,0.048586729913949966,-2.2183597087860107,0.55598384141922,-1.2810957431793213,-0.01989529242011747,-0.019547966013150415,0.01962552550909308,0.19925217636182185,0.8157215732817801,-0.543044091301779,0.0013794077094644308]","[0.18098974227905273,1.0356279611587524,-0.4392607808113098,0.37782520055770874,0.01414190698415041,-0.030045369639992714,0.8207002878189087,-0.4961264729499817,-0.09644564986228943,-0.20486260950565338,0.09983256459236145,-0.2250146120786667,0.3035053610801697,0.07832866162061691,0.1203548014163971,0.9979449129970828,-0.00735966972877557,0.001358270709754204,-0.06363914664266986,0.004903653636574745,0.09054815024137497,0.048586729913949966,-2.2183597087860107,0.55598384141922,-1.2810957431793213,-0.01989529242011747,-0.019547966013150415,0.01962552550909308,0.19925217636182185,0.8157215732817801,-0.543044091301779,0.0013794077094644308,1.0,0.0,0.0,0.0,0.0,0.0]",audited_test
844,1,both_like,both,replay_audited,branch_replay_confirmed_both,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.1,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.1,70,0,"[0.13690538704395294,1.0648483037948608,-0.43319132924079895,0.389195054769516,0.010780185461044312,-0.02250141091644764,0.9023717641830444,-1.0312516689300537,-0.18259984254837036,-0.41878947615623474,0.11530802398920059,-0.2531720697879791,0.3039468228816986,0.07478738576173782,0.11977843195199966,0.9996045072496396,0.004027947944752278,0.0006361613733529572,-0.027824450044282946,0.000166176279890351,0.008842512965202332,0.008080692030489445,-0.30590736865997314,-0.0386357419192791,0.025127790868282318]","[0.13690538704395294,1.0648483037948608,-0.43319132924079895,0.389195054769516,0.010780185461044312,-0.02250141091644764,0.9023717641830444,-1.0312516689300537,-0.18259984254837036,-0.41878947615623474,0.11530802398920059,-0.2531720697879791,0.3039468228816986,0.07478738576173782,0.11977843195199966,0.9996045072496396,0.004027947944752278,0.0006361613733529572,-0.027824450044282946,0.000166176279890351,0.008842512965202332,0.008080692030489445,-0.30590736865997314,-0.0386357419192791,0.025127790868282318,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.13690538704395294,1.0648483037948608,-0.43319132924079895,0.389195054769516,0.010780185461044312,-0.02250141091644764,0.9023717641830444,-1.0312516689300537,-0.18259984254837036,-0.41878947615623474,0.11530802398920059,-0.2531720697879791,0.3039468228816986,0.07478738576173782,0.11977843195199966,0.9996045072496396,0.004027947944752278,0.0006361613733529572,-0.027824450044282946,0.000166176279890351,0.008842512965202332,0.008080692030489445,-0.30590736865997314,-0.0386357419192791,0.025127790868282318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0]",audited_test
846,0,stable_like,stable,replay_audited,v2_heldout_stable,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.1,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.1,74,2,"[0.14466442167758942,1.05977201461792,-0.4341309666633606,0.38715463876724243,0.01138575654476881,-0.023827701807022095,0.9022560715675354,-0.939691960811615,-0.16985341906547546,-0.38305774331092834,0.11532263457775116,-0.2520941197872162,0.30397263169288635,0.075282521545887,0.12021877616643906,0.9995507549582611,-0.003775805457152952,0.001300747538879631,-0.029704201914208486,0.006203577853739262,0.11092010140419006,0.08845710009336472,-2.1618642807006836,0.045613255351781845,-1.1252706050872803]","[0.14466442167758942,1.05977201461792,-0.4341309666633606,0.38715463876724243,0.01138575654476881,-0.023827701807022095,0.9022560715675354,-0.939691960811615,-0.16985341906547546,-0.38305774331092834,0.11532263457775116,-0.2520941197872162,0.30397263169288635,0.075282521545887,0.12021877616643906,0.9995507549582611,-0.003775805457152952,0.001300747538879631,-0.029704201914208486,0.006203577853739262,0.11092010140419006,0.08845710009336472,-2.1618642807006836,0.045613255351781845,-1.1252706050872803,-0.01965725738691034,-0.019627731567945107,0.019439506665494197,0.40174077069760034,0.6597270241643524,-0.6351099170588869,0.0016120977234095335]","[0.14466442167758942,1.05977201461792,-0.4341309666633606,0.38715463876724243,0.01138575654476881,-0.023827701807022095,0.9022560715675354,-0.939691960811615,-0.16985341906547546,-0.38305774331092834,0.11532263457775116,-0.2520941197872162,0.30397263169288635,0.075282521545887,0.12021877616643906,0.9995507549582611,-0.003775805457152952,0.001300747538879631,-0.029704201914208486,0.006203577853739262,0.11092010140419006,0.08845710009336472,-2.1618642807006836,0.045613255351781845,-1.1252706050872803,-0.01965725738691034,-0.019627731567945107,0.019439506665494197,0.40174077069760034,0.6597270241643524,-0.6351099170588869,0.0016120977234095335,1.1,0.0,0.0,0.0,0.0,0.0]",audited_test
866,1,both_like,both,replay_audited,marginal_both,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.2,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.2,32,3,"[0.06861323863267899,1.1392180919647217,-0.4195672571659088,0.416210412979126,0.005330977495759726,-0.01088126003742218,0.9996294379234314,-2.047121047973633,-0.3755002021789551,-0.669370174407959,0.13403502106666565,-0.26391953229904175,0.3020131587982178,0.06907614320516586,0.12005605548620224,0.9999992333036453,-0.0006537331164737372,0.0007983346757523667,-0.0006846070985183324,0.010521406307816505,0.07064798474311829,0.060658153146505356,-1.6083022356033325,1.3078482151031494,-1.4469105005264282]","[0.06861323863267899,1.1392180919647217,-0.4195672571659088,0.416210412979126,0.005330977495759726,-0.01088126003742218,0.9996294379234314,-2.047121047973633,-0.3755002021789551,-0.669370174407959,0.13403502106666565,-0.26391953229904175,0.3020131587982178,0.06907614320516586,0.12005605548620224,0.9999992333036453,-0.0006537331164737372,0.0007983346757523667,-0.0006846070985183324,0.010521406307816505,0.07064798474311829,0.060658153146505356,-1.6083022356033325,1.3078482151031494,-1.4469105005264282,-0.034967064788615804,-0.01875551521630287,0.019344461811178264,0.100352785893849,0.8962339820513657,-0.4320809736376916,0.002401735633611679]","[0.06861323863267899,1.1392180919647217,-0.4195672571659088,0.416210412979126,0.005330977495759726,-0.01088126003742218,0.9996294379234314,-2.047121047973633,-0.3755002021789551,-0.669370174407959,0.13403502106666565,-0.26391953229904175,0.3020131587982178,0.06907614320516586,0.12005605548620224,0.9999992333036453,-0.0006537331164737372,0.0007983346757523667,-0.0006846070985183324,0.010521406307816505,0.07064798474311829,0.060658153146505356,-1.6083022356033325,1.3078482151031494,-1.4469105005264282,-0.034967064788615804,-0.01875551521630287,0.019344461811178264,0.100352785893849,0.8962339820513657,-0.4320809736376916,0.002401735633611679,1.2,0.0,0.0,0.0,0.0,0.0]",audited_test
993,0,stable_like,signature_only,replay_audited,marginal_signature_only,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.5,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.5,40,4,"[0.10698135197162628,1.1192350387573242,-0.423216849565506,0.4094289541244507,0.008269842714071274,-0.016972901299595833,1.2270070314407349,-2.0773329734802246,-0.26923662424087524,-0.8197359442710876,0.15681211650371552,-0.3452727496623993,0.3016849458217621,0.07499968260526657,0.12081503868103027,0.9990510970105845,-0.011861349007097257,0.0032841331229203205,-0.04177832489833069,0.016581816598773003,0.20123665034770966,0.10172418504953384,-3.1707494258880615,1.0856056213378906,-3.9851438999176025]","[0.10698135197162628,1.1192350387573242,-0.423216849565506,0.4094289541244507,0.008269842714071274,-0.016972901299595833,1.2270070314407349,-2.0773329734802246,-0.26923662424087524,-0.8197359442710876,0.15681211650371552,-0.3452727496623993,0.3016849458217621,0.07499968260526657,0.12081503868103027,0.9990510970105845,-0.011861349007097257,0.0032841331229203205,-0.04177832489833069,0.016581816598773003,0.20123665034770966,0.10172418504953384,-3.1707494258880615,1.0856056213378906,-3.9851438999176025,-0.025557509906202185,-0.01869965624482983,0.01882560579057416,0.20898374146262605,0.8324062289966442,-0.5132501005668374,0.0022603038232773542]","[0.10698135197162628,1.1192350387573242,-0.423216849565506,0.4094289541244507,0.008269842714071274,-0.016972901299595833,1.2270070314407349,-2.0773329734802246,-0.26923662424087524,-0.8197359442710876,0.15681211650371552,-0.3452727496623993,0.3016849458217621,0.07499968260526657,0.12081503868103027,0.9990510970105845,-0.011861349007097257,0.0032841331229203205,-0.04177832489833069,0.016581816598773003,0.20123665034770966,0.10172418504953384,-3.1707494258880615,1.0856056213378906,-3.9851438999176025,-0.025557509906202185,-0.01869965624482983,0.01882560579057416,0.20898374146262605,0.8324062289966442,-0.5132501005668374,0.0022603038232773542,1.5,0.0,0.0,0.0,0.0,0.0]",audited_test
1051,0,stable_like,stable,replay_audited,v2_heldout_stable,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.6,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.6,74,4,"[0.21001382172107697,1.0561496019363403,-0.43310582637786865,0.3838343918323517,0.01646450161933899,-0.034582365304231644,1.3152514696121216,-0.9264793992042542,-0.16633737087249756,-0.3867158889770508,0.17169122397899628,-0.3658270239830017,0.3032287359237671,0.08744154870510101,0.12145250290632248,0.9913008400153157,-0.03816725013175873,0.004904456994867922,-0.12586441873657025,0.052199527621269226,0.23195187747478485,0.05095432698726654,-1.7569749355316162,-1.9212783575057983,-1.7139822244644165]","[0.21001382172107697,1.0561496019363403,-0.43310582637786865,0.3838343918323517,0.01646450161933899,-0.034582365304231644,1.3152514696121216,-0.9264793992042542,-0.16633737087249756,-0.3867158889770508,0.17169122397899628,-0.3658270239830017,0.3032287359237671,0.08744154870510101,0.12145250290632248,0.9913008400153157,-0.03816725013175873,0.004904456994867922,-0.12586441873657025,0.052199527621269226,0.23195187747478485,0.05095432698726654,-1.7569749355316162,-1.9212783575057983,-1.7139822244644165,-0.016833925341554663,-0.01950245048599949,0.01948782318862007,0.13187303496677008,0.8305853279301073,-0.5410522300812457,0.0021646348759531975]","[0.21001382172107697,1.0561496019363403,-0.43310582637786865,0.3838343918323517,0.01646450161933899,-0.034582365304231644,1.3152514696121216,-0.9264793992042542,-0.16633737087249756,-0.3867158889770508,0.17169122397899628,-0.3658270239830017,0.3032287359237671,0.08744154870510101,0.12145250290632248,0.9913008400153157,-0.03816725013175873,0.004904456994867922,-0.12586441873657025,0.052199527621269226,0.23195187747478485,0.05095432698726654,-1.7569749355316162,-1.9212783575057983,-1.7139822244644165,-0.016833925341554663,-0.01950245048599949,0.01948782318862007,0.13187303496677008,0.8305853279301073,-0.5410522300812457,0.0021646348759531975,1.6,0.0,0.0,0.0,0.0,0.0]",audited_test
1084,1,both_like,both,replay_audited,marginal_both,"{""command_qpos"":[0.0,1.4,-0.4,0.5,0.0,0.0],""command_qvel"":[1.7,0.0,0.0,0.0,0.0,0.0],""obj_pos"":[0.302,0.069,0.12]}","[0.302,0.069,0.12]",1.7,58,6,"[0.17506244778633118,1.0788630247116089,-0.4288639724254608,0.39287590980529785,0.013624217361211777,-0.02851143293082714,1.3965402841567993,-1.3465763330459595,-0.21910162270069122,-0.5511499047279358,0.1855086088180542,-0.3925132751464844,0.30050936341285706,0.0829269215464592,0.12052090466022491,0.9916301560086281,-0.01016062209192819,0.001223094987069294,-0.12870469879402757,0.05364898219704628,0.16893278062343597,0.10163913667201996,-5.370163917541504,-0.3485065996646881,0.03821299225091934]","[0.17506244778633118,1.0788630247116089,-0.4288639724254608,0.39287590980529785,0.013624217361211777,-0.02851143293082714,1.3965402841567993,-1.3465763330459595,-0.21910162270069122,-0.5511499047279358,0.1855086088180542,-0.3925132751464844,0.30050936341285706,0.0829269215464592,0.12052090466022491,0.9916301560086281,-0.01016062209192819,0.001223094987069294,-0.12870469879402757,0.05364898219704628,0.16893278062343597,0.10163913667201996,-5.370163917541504,-0.3485065996646881,0.03821299225091934,-0.003263266077020224,-0.018807617329499024,0.01906798079594285,0.04079976419520291,0.8549202249526605,-0.5171525773004599,0.0029882153030484915]","[0.17506244778633118,1.0788630247116089,-0.4288639724254608,0.39287590980529785,0.013624217361211777,-0.02851143293082714,1.3965402841567993,-1.3465763330459595,-0.21910162270069122,-0.5511499047279358,0.1855086088180542,-0.3925132751464844,0.30050936341285706,0.0829269215464592,0.12052090466022491,0.9916301560086281,-0.01016062209192819,0.001223094987069294,-0.12870469879402757,0.05364898219704628,0.16893278062343597,0.10163913667201996,-5.370163917541504,-0.3485065996646881,0.03821299225091934,-0.003263266077020224,-0.018807617329499024,0.01906798079594285,0.04079976419520291,0.8549202249526605,-0.5171525773004599,0.0029882153030484915,1.7,0.0,0.0,0.0,0.0,0.0]",audited_test
