config,phase,step,grad_norm
new (N=80 r=0.005),approach,0,4.2441
new (N=80 r=0.005),approach,1,4.2441
new (N=80 r=0.005),approach,2,4.2441
new (N=80 r=0.005),approach,3,4.2441
new (N=80 r=0.005),approach,4,4.2441
new (N=80 r=0.005),approach,5,4.2441
new (N=80 r=0.005),approach,6,4.2441
new (N=80 r=0.005),approach,7,4.2441
new (N=80 r=0.005),approach,8,4.2441
new (N=80 r=0.005),approach,9,4.2441
new (N=80 r=0.005),approach,10,4.2441
new (N=80 r=0.005),approach,11,4.2441
new (N=80 r=0.005),approach,12,4.2441
new (N=80 r=0.005),approach,13,4.2441
new (N=80 r=0.005),approach,14,4.2441
new (N=80 r=0.005),close,0,0.136144
new (N=80 r=0.005),close,1,0.135869
new (N=80 r=0.005),close,2,4.25997
new (N=80 r=0.005),close,3,4.2596
new (N=80 r=0.005),close,4,4.25923
new (N=80 r=0.005),close,5,4.25887
new (N=80 r=0.005),close,6,4.25854
new (N=80 r=0.005),close,7,4.2582
new (N=80 r=0.005),close,8,4.25786
new (N=80 r=0.005),close,9,4.25753
new (N=80 r=0.005),close,10,4.25721
new (N=80 r=0.005),close,11,4.2569
new (N=80 r=0.005),close,12,4.25659
new (N=80 r=0.005),close,13,4.2563
new (N=80 r=0.005),close,14,4.25596
new (N=80 r=0.005),close,15,4.25569
new (N=80 r=0.005),close,16,4.25545
new (N=80 r=0.005),close,17,4.25519
new (N=80 r=0.005),close,18,4.25493
new (N=80 r=0.005),close,19,4.25468
new (N=80 r=0.005),lift,0,6.945
new (N=80 r=0.005),lift,1,6.25811
new (N=80 r=0.005),lift,2,6.22583
new (N=80 r=0.005),lift,3,6.19712
new (N=80 r=0.005),lift,4,6.1672
new (N=80 r=0.005),lift,5,6.1395
new (N=80 r=0.005),lift,6,6.12096
new (N=80 r=0.005),lift,7,6.15075
new (N=80 r=0.005),lift,8,6.21781
new (N=80 r=0.005),lift,9,6.25261
new (N=80 r=0.005),lift,10,6.24826
new (N=80 r=0.005),lift,11,6.37766
new (N=80 r=0.005),lift,12,6.54044
new (N=80 r=0.005),lift,13,6.50353
new (N=80 r=0.005),lift,14,6.52661
new (N=80 r=0.005),lift,15,7.53836
new (N=80 r=0.005),lift,16,8.015
new (N=80 r=0.005),lift,17,8.01494
new (N=80 r=0.005),lift,18,8.01489
new (N=80 r=0.005),lift,19,8.01484
new (N=80 r=0.005),lift,20,8.01479
new (N=80 r=0.005),lift,21,8.01475
new (N=80 r=0.005),lift,22,8.0147
new (N=80 r=0.005),lift,23,8.01466
new (N=80 r=0.005),lift,24,8.01461
old (N=30 r=0.010),approach,0,4.24408
old (N=30 r=0.010),approach,1,4.2441
old (N=30 r=0.010),approach,2,4.2441
old (N=30 r=0.010),approach,3,4.2441
old (N=30 r=0.010),approach,4,4.2441
old (N=30 r=0.010),approach,5,4.2441
old (N=30 r=0.010),approach,6,4.2441
old (N=30 r=0.010),approach,7,4.2441
old (N=30 r=0.010),approach,8,4.2441
old (N=30 r=0.010),approach,9,4.2441
old (N=30 r=0.010),approach,10,4.2441
old (N=30 r=0.010),approach,11,4.2441
old (N=30 r=0.010),approach,12,4.2441
old (N=30 r=0.010),approach,13,4.24409
old (N=30 r=0.010),approach,14,4.24407
old (N=30 r=0.010),close,0,0.137599
old (N=30 r=0.010),close,1,0.137802
old (N=30 r=0.010),close,2,0.138344
old (N=30 r=0.010),close,3,1.23973
old (N=30 r=0.010),close,4,4.28899
old (N=30 r=0.010),close,5,4.29052
old (N=30 r=0.010),close,6,4.28959
old (N=30 r=0.010),close,7,4.29091
old (N=30 r=0.010),close,8,4.29046
old (N=30 r=0.010),close,9,4.28707
old (N=30 r=0.010),close,10,4.2879
old (N=30 r=0.010),close,11,4.28766
old (N=30 r=0.010),close,12,4.28755
old (N=30 r=0.010),close,13,4.28833
old (N=30 r=0.010),close,14,4.28627
old (N=30 r=0.010),close,15,4.28633
old (N=30 r=0.010),close,16,4.28565
old (N=30 r=0.010),close,17,4.28669
old (N=30 r=0.010),close,18,4.28344
old (N=30 r=0.010),close,19,4.28433
old (N=30 r=0.010),lift,0,6.96383
old (N=30 r=0.010),lift,1,6.28464
old (N=30 r=0.010),lift,2,6.25564
old (N=30 r=0.010),lift,3,6.22757
old (N=30 r=0.010),lift,4,6.19361
old (N=30 r=0.010),lift,5,6.16551
old (N=30 r=0.010),lift,6,6.15592
old (N=30 r=0.010),lift,7,6.16606
old (N=30 r=0.010),lift,8,6.22444
old (N=30 r=0.010),lift,9,6.24726
old (N=30 r=0.010),lift,10,6.2766
old (N=30 r=0.010),lift,11,6.45128
old (N=30 r=0.010),lift,12,6.56539
old (N=30 r=0.010),lift,13,6.49566
old (N=30 r=0.010),lift,14,6.54766
old (N=30 r=0.010),lift,15,7.5655
old (N=30 r=0.010),lift,16,8.03925
old (N=30 r=0.010),lift,17,8.03899
old (N=30 r=0.010),lift,18,8.03613
old (N=30 r=0.010),lift,19,8.03716
old (N=30 r=0.010),lift,20,8.0368
old (N=30 r=0.010),lift,21,8.03583
old (N=30 r=0.010),lift,22,8.0378
old (N=30 r=0.010),lift,23,8.03755
old (N=30 r=0.010),lift,24,8.03598
